ack,atraso,vazao,tempo
-2,0,"232,875","2474,188"
-2,0,"224,892","2470,157"
-2,0,"233,949","2464,431"
-2,0,"207,793","2465,642"
-2,0,"207,681","2406,085"
-2,0,"231,494","2494,183"
-2,0,"216,800","2553,204"
-2,0,"120,478","2448,639"
-2,0,"222,471","2497,133"
-2,0,"196,606","2527,456"
-2,0,"213,312","2415,549"
-2,0,"210,115","2366,578"
-2,0,"241,558","2513,848"
-2,0,"190,603","2549,132"
-2,0,"190,987","2525,359"
-2,0,"238,941","2342,664"
-2,0,"215,631","2546,249"
-2,0,"240,821","2389,431"
-2,0,"217,408","2443,697"
-2,0,"200,123","2477,637"
-2,100,"195,618","2764,196"
-2,100,"206,682","2727,162"
-2,100,"200,638","2765,698"
-2,100,"191,497","2809,368"
-2,100,"186,577","2639,496"
-2,100,"199,849","2428,311"
-2,100,"207,217","2537,104"
-2,100,"205,762","2449,884"
-2,100,"216,043","2505,322"
-2,100,"194,413","2703,235"
-2,100,"177,054","2601,947"
-2,100,"187,622","2726,199"
-2,100,"186,667","2626,939"
-2,100,"226,217","2618,761"
-2,100,"217,583","2509,117"
-2,100,"213,574","2538,833"
-2,100,"187,425","2612,654"
-2,100,"213,567","2476,299"
-2,100,"201,617","2575,328"
-2,100,"187,248","2595,203"
-2,200,"201,240","2574,301"
-2,200,"206,508","2501,623"
-2,200,"195,710","2400,537"
-2,200,"244,213","2355,625"
-2,200,"203,343","2294,060"
-2,200,"192,198","2614,694"
-2,200,"207,657","2615,066"
-2,200,"208,100","2629,809"
-2,200,"195,477","2550,607"
-2,200,"183,028","2570,525"
-2,200,"201,332","2530,493"
-2,200,"228,603","2500,329"
-2,200,"101,663","2505,453"
-2,200,"215,476","2582,435"
-2,200,"114,352","2473,368"
-2,200,"203,632","2455,158"
-2,200,"181,906","2376,871"
-2,200,"234,883","2452,596"
-2,200,"158,612","2738,503"
-2,200,"184,932","2618,452"
-2,300,"197,408","2574,845"
-2,300,"214,009","2415,155"
-2,300,"186,152","2482,375"
-2,300,"196,715","2515,620"
-2,300,"211,156","2500,675"
-2,300,"201,014","2696,446"
-2,300,"190,406","2678,396"
-2,300,"191,315","2702,163"
-2,300,"184,630","2678,156"
-2,300,"246,507","2478,180"
-2,300,"220,064","2704,269"
-2,300,"212,374","2528,004"
-2,300,"230,176","2511,890"
-2,300,"235,655","2494,458"
-2,300,"233,336","2400,932"
-2,300,"223,624","2410,918"
-2,300,"212,557","2564,912"
-2,300,"229,059","2388,319"
-2,300,"222,053","2636,627"
-2,300,"204,965","2616,344"
-1,0,"685,711","715,987"
-1,0,"738,546","683,837"
-1,0,"753,493","685,220"
-1,0,"759,037","687,432"
-1,0,"748,284","689,986"
-1,0,"737,877","740,183"
-1,0,"799,327","686,693"
-1,0,"734,503","671,189"
-1,0,"727,911","735,571"
-1,0,"729,431","693,438"
-1,0,"736,424","674,556"
-1,0,"756,683","663,949"
-1,0,"726,764","674,222"
-1,0,"725,569","685,718"
-1,0,"716,062","734,786"
-1,0,"742,005","689,520"
-1,0,"712,456","675,397"
-1,0,"758,636","681,618"
-1,0,"780,165","683,590"
-1,0,"830,013","629,259"
-1,100,"754,929","700,893"
-1,100,"755,061","697,995"
-1,100,"699,809","741,105"
-1,100,"675,477","757,725"
-1,100,"742,582","693,637"
-1,100,"696,560","747,317"
-1,100,"634,693","645,022"
-1,100,"803,611","663,261"
-1,100,"779,951","692,123"
-1,100,"637,337","724,601"
-1,100,"710,636","747,494"
-1,100,"693,182","748,539"
-1,100,"800,014","675,529"
-1,100,"760,621","692,739"
-1,100,"790,859","690,896"
-1,100,"755,442","708,589"
-1,100,"839,323","672,173"
-1,100,"728,244","694,302"
-1,100,"791,620","669,210"
-1,100,"802,784","686,152"
-1,200,"738,631","744,088"
-1,200,"671,766","705,065"
-1,200,"642,291","682,538"
-1,200,"630,313","791,909"
-1,200,"642,783","791,628"
-1,200,"820,798","638,308"
-1,200,"691,322","751,555"
-1,200,"739,369","719,856"
-1,200,"753,712","700,940"
-1,200,"676,901","752,785"
-1,200,"703,551","736,119"
-1,200,"754,414","736,411"
-1,200,"623,972","798,967"
-1,200,"708,217","747,428"
-1,200,"667,221","778,952"
-1,200,"680,843","755,307"
-1,200,"799,43","665,063"
-1,200,"754,031","688,532"
-1,200,"654,216","806,754"
-1,200,"678,445","683,401"
-1,300,"748,565","707,063"
-1,300,"694,098","790,556"
-1,300,"758,123","698,833"
-1,300,"766,323","696,339"
-1,300,"825,117","714,765"
-1,300,"693,221","722,738"
-1,300,"796,530","657,861"
-1,300,"721,660","742,810"
-1,300,"760,195","704,743"
-1,300,"688,819","742,140"
-1,300,"758,881","689,892"
-1,300,"636,245","799,371"
-1,300,"740,149","711,133"
-1,300,"679,961","754,424"
-1,300,"811,732","667,981"
-1,300,"763,179","699,209"
-1,300,"671,875","763,569"
-1,300,"758,575","697,128"
-1,300,"773,265","691,002"
-1,300,"736,707","736,528"
0,0,"7619,911","72,950"
0,0,"7272,837","75,692"
0,0,"6623,648","80,456"
0,0,"7304,536","74,974"
0,0,"7377,342","74,376"
0,0,"7077,087","76,831"
0,0,"7362,515","74,227"
0,0,"7048,402","77,708"
0,0,"7495,468","74,075"
0,0,"7567,065","72,687"
0,0,"7484,479","73,332"
0,0,"6901,511","78,936"
0,0,"7395,141","73,754"
0,0,"7435,030","74,057"
0,0,"7613,661","72,912"
0,0,"7200,000","76,282"
0,0,"7079,469","77,138"
0,0,"7395,629","74,815"
0,0,"7315,537","74,774"
0,0,"7308,437","75,397"
0,100,"4439,278","143,141"
0,100,"4483,010","148,202"
0,100,"4259,718","147,189"
0,100,"4478,351","143,221"
0,100,"4302,632","144,666"
0,100,"4317,973","145,078"
0,100,"4279,516","145,776"
0,100,"4506,292","143,612"
0,100,"4304,237","146,463"
0,100,"3911,552","152,494"
0,100,"6943,186","156,357"
0,100,"4527,655","145,300"
0,100,"4791,717","141,225"
0,100,"4215,501","147,210"
0,100,"4416,191","143,416"
0,100,"4508,649","142,176"
0,100,"4083,794","149,238"
0,100,"4444,951","141,291"
0,100,"4347,744","148,064"
0,100,"4462,631","144,186"
0,200,"3997,015","152,205"
0,200,"4445,501","148,282"
0,200,"4580,839","143,282"
0,200,"4327,498","149,410"
0,200,"4371,513","147,644"
0,200,"4236,722","144,220"
0,200,"4388,745","147,734"
0,200,"4300,611","149,146"
0,200,"4634,011","143,821"
0,200,"4203,358","150,002"
0,200,"4719,621","144,621"
0,200,"4987,089","143,075"
0,200,"4628,352","145,078"
0,200,"4455,774","147,656"
0,200,"3586,997","153,611"
0,200,"4273,230","146,624"
0,200,"4433,314","146,828"
0,200,"4948,751","141,511"
0,200,"4375,638","148,355"
0,200,"4664,662","142,113"
0,300,"3906,421","152,208"
0,300,"4722,517","143,161"
0,300,"5068,815","140,904"
0,300,"4283,646","145,176"
0,300,"4659,375","139,237"
0,300,"4312,179","150,203"
0,300,"4857,943","144,062"
0,300,"4168,831","148,382"
0,300,"4260,676","149,499"
0,300,"4322,583","146,802"
0,300,"6838,544","156,545"
0,300,"5542,503","137,531"
0,300,"4780,648","143,365"
0,300,"4507,195","143,552"
0,300,"4146,099","151,452"
0,300,"4280,233","148,410"
0,300,"4207,775","148,289"
0,300,"4218,784","147,204"
0,300,"4972,878","141,263"
0,300,"4200,354","147,937"
1,0,"1378,271","372,850"
1,0,"1391,499","361,284"
1,0,"1381,097","376,905"
1,0,"1209,630","411,727"
1,0,"1411,167","376,925"
1,0,"1420,791","379,817"
1,0,"1142,000","450,819"
1,0,"1442,982","356,786"
1,0,"1457,843","355,955"
1,0,"1460,981","360,596"
1,0,"1366,788","380,893"
1,0,"1351,405","375,501"
1,0,"1526,815","355,460"
1,0,"1262,559","396,590"
1,0,"1335,765","383,224"
1,0,"1407,045","348,131"
1,0,"1307,900","403,875"
1,0,"1422,180","367,237"
1,0,"1333,247","384,802"
1,0,"1333,495","378,563"
1,100,"1448,669","428,142"
1,100,"1364,884","408,234"
1,100,"1359,359","421,569"
1,100,"1542,401","411,435"
1,100,"1650,866","388,290"
1,100,"1480,937","423,946"
1,100,"1418,857","428,510"
1,100,"1241,748","450,673"
1,100,"1340,489","435,909"
1,100,"1493,244","416,252"
1,100,"1290,911","424,130"
1,100,"1183,420","448,356"
1,100,"1318,234","431,169"
1,100,"1436,444","439,695"
1,100,"1399,604","423,645"
1,100,"1443,929","421,050"
1,100,"1325,987","423,253"
1,100,"1544,308","415,291"
1,100,"1230,606","467,880"
1,100,"1256,976","437,747"
1,200,"1245,379","453,661"
1,200,"1243,415","442,131"
1,200,"975,901","535,948"
1,200,"1322,399","417,831"
1,200,"1447,035","409,070"
1,200,"1261,230","460,600"
1,200,"1260,134","465,411"
1,200,"1266,987","437,087"
1,200,"1370,613","470,797"
1,200,"1724,435","396,760"
1,200,"1321,896","442,601"
1,200,"1379,452","451,146"
1,200,"1398,672","427,598"
1,200,"1354,711","456,963"
1,200,"1224,295","469,086"
1,200,"1312,978","426,141"
1,200,"1406,601","411,177"
1,200,"1848,776","372,890"
1,200,"1415,937","430,701"
1,200,"1262,385","449,891"
1,300,"1399,453","414,786"
1,300,"1292,251","454,849"
1,300,"1462,381","413,423"
1,300,"1421,370","446,200"
1,300,"1206,221","460,621"
1,300,"1250,925","444,041"
1,300,"1200,735","469,896"
1,300,"1486,316","414,551"
1,300,"1316,892","408,328"
1,300,"1444,166","418,800"
1,300,"1264,371","452,364"
1,300,"1346,814","439,212"
1,300,"1217,822","483,551"
1,300,"1415,261","424,738"
1,300,"1407,501","412,379"
1,300,"1285,483","443,197"
1,300,"1504,655","415,068"
1,300,"1459,107","438,725"
1,300,"1440,042","424,664"
1,300,"1425,073","417,593"
